id	concept	when	how	example
12d381a5-98c6-45f8-b0ac-41ece134a439	The Five Whys	When you've fixed a surface-level bug but want to understand the root cause so it doesn't recur.	Ask "why did this happen?" and then ask "why?" again about the answer, repeating five times (or until the root cause is structural, not symptomatic). Stops you from treating symptoms instead of causes.	Bug: button was disabled. Why? State was null. Why? API returned null. Why? Missing env var in prod. Why? Deploy script doesn't validate required env vars. Fix: add env var validation to CI — not just "set the var this time."
db8ade70-537a-4743-86cc-320af994dd06	What is process isolation as a security boundary, and how does Electron implement it?		Sandboxing ensures a compromised renderer can't escalate to full OS access — the main process is the gatekeeper.
3579d638-2b46-42c2-80d9-b7f92d7c872e	How do you safely expose Node.js APIs (like `fs`) to an Electron renderer without giving it full Node access?		Use contextIsolation: true + a preload script. The preload calls contextBridge.exposeInMainWorld('api', { saveFile: (data) => ipcRenderer.invoke('save-file', data) }). The renderer calls window.api.saveFile(data) but can never access require('fs') directly.	
717a8279-ffa8-4a83-abc1-09e7181c5800	What are the 4 key properties of Progressive Escalation UX?	1. **Graduated** – each step more noticeable than the last		
1537c301-34bf-4444-a740-21783a6a30b1	Two-Process Architecture Pattern	When designing any system where a background service needs to drive a UI without coupling them tightly.	Separate the orchestrator (scheduling, state, I/O) from the view (rendering, interaction). They communicate via a typed message-passing interface. This means the UI can crash or be replaced without losing state, and the orchestrator can run headlessly.	Electron's main/renderer split. The main process holds all card state, scheduling, and file I/O. The renderer is purely display — it receives data via IPC and sends commands back. You could swap the entire UI without touching main.js.
f7086679-3e2a-49f3-98b8-52e340d70fe8	Packaging vs. Running from Source	When shipping a desktop app to be used outside a development context — login items, dock icons, OS integration.	Running from source (npm start) works for development but fails for OS integration because the "executable" is node/electron, not your app. Packaging creates a self-contained .app bundle with its own executable path, which is what macOS uses for dock icons, login items, and Spotlight.	app.setLoginItem() only registers correctly when called from a packaged .app. Running npm start registers "Electron" as the login item, not "Study Notifier."
61481ac6-bc6e-41e8-80c2-083964abd9c4	What is 'closing the loop on learning' and why does it work?		Consuming information (reading, watching) creates weak memory traces. Retrieval practice — recalling the answer before seeing it — strengthens retention. The harder the recall, the stronger the trace. Spaced repetition compounds this over time.
48adc42c-e425-4c9e-ad15-501c5d1dfa2d	Silent Config Mislocation	When a tool or service appears correctly configured but the expected behavior never materializes and no error is emitted.	Many applications load config from one canonical location and simply ignore all others without warning. If the config is written to a plausible-but-wrong path — due to naming confusion, scope mismatches, or privilege escalation — the application proceeds as if unconfigured. The diagnostic move is to inspect what file is actually being written versus what file the application actually reads, treating them as independent questions.	Claude Code reads `mcpServers` only from `~/.claude.json`. Writing the same key to `~/.claude/settings.json` or having `sudo` redirect the write to `/var/root/.claude.json` both produce silent failures with no error output.
5f7e6e19-bc97-4aa9-98dd-9b36e03135fc	`claude mcp add myserver` exits cleanly and `claude mcp list` shows the server — but only from one directory. What caused this and how do you fix it?		Default scope is `local`, so the entry is written under a directory-specific key in `~/.claude.json`. Fix: re-add with `-s user` to write to the top-level key, making the server available everywhere.	
2df2ea0f-0c43-4ec6-afa2-4e92dac46310	A session-end handler checks `window.isVisible()` to decide whether to show the catalog or hide the window. What's wrong with this and how do you fix it?		Inferring intent from ambient state is fragile — window visibility could be wrong for unrelated reasons.
9da83f46-e50b-485c-97cd-ad7032e5094f	Intentional Store Decoupling — Separate Indices Serve Separate Access Patterns	When a system has multiple consumers with fundamentally different access patterns (e.g., semantic search vs. sequential review), and coupling them to a single store would create fragile dependencies or unnecessary complexity.	Rather than making one store the source of truth for everything, assign each store exactly the data it needs for its specific access pattern. The stores share an upstream source (raw files) but are populated independently and can fail or be deleted independently. This means losing one store only breaks the features it directly powers, not the whole system.	`chroma_db/` holds embeddings and first-1000-char previews for semantic search; `study-cards/*.tsv` holds full Claude-generated cards for the review UI. Both derive from the same markdown files but are otherwise independent — deleting ChromaDB does not affect card review, and regenerating cards does not require ChromaDB to be healthy.
ed44d927-5812-44a4-ac58-76c05ce73301	Heartbeat Guard — Idempotent Process Spawning via Liveness Check	When your application needs to ensure a background service is running at startup, but blindly spawning it would cause conflicts if it is already running from a previous session or another process.	Before spawning, send a cheap liveness probe (e.g., an HTTP heartbeat request) to the service's known address. If a valid response is received, skip spawning and attach to the existing instance. If no response is received, proceed with spawning. This makes the startup routine idempotent — safe to call repeatedly without creating duplicate processes or port conflicts.	`startChroma()` in `main.js` checks `localhost:8000/api/v2/heartbeat` before running `chroma run`. If ChromaDB is already up (e.g., left running from a previous dev session), the spawn is skipped entirely, preventing a port conflict or a second dangling process.
